"id","code","market_cap"
1,"BHP","241285033082.00"
2,"CBA","176835863471.00"
3,"CSL","148569732388.00"
4,"NAB","93046541695.00"
5,"WBC","78848959291.00"
6,"ANZ","77416190183.00"
7,"MQG","73755223733.00"
8,"WDS","72893003709.00"
9,"FMG","70169610481.00"
10,"WES","60895393437.00"
11,"TLS","50492847533.00"
12,"WOW","48577464032.00"
13,"RIO","46357480804.00"
14,"TCL","46177404777.00"
15,"GMG","44042032226.00"
16,"WTC","28871525505.00"
17,"ALL","27078371332.00"
18,"NCM","26791152731.00"
19,"STO","25787317310.00"
20,"COL","24653172056.00"
21,"QBE","23768917921.00"
22,"REA","21546996921.00"
23,"BXB","21006883714.00"
24,"S32","20704354287.00"
25,"JHX","20452480911.00"
26,"XRO","18732479016.00"
27,"SUN","18086225358.00"
28,"COH","17681299992.00"
29,"SHL","17042757443.00"
30,"MIN","16783856753.00"
31,"NST","16559214624.00"
32,"PLS","15920939834.00"
33,"CPU","15787522136.00"
34,"SCG","15778750151.00"
35,"RHC","15654728732.00"
36,"ORG","15263544365.00"
37,"IAG","14887327843.00"
38,"FPH","14849581984.00"
39,"RMD","14825693506.00"
40,"ASX","13632971308.00"
41,"REH","13023041089.00"
42,"VAS","12933687396.00"
43,"SOL","12929868853.00"
44,"APA","12353488589.00"
45,"EDV","12339852317.00"
46,"QAN","12300116291.00"
47,"AIA","12266350971.00"
48,"IGO","12207157146.00"
49,"TLC","11841105460.00"
50,"SVW","11325301660.00"
51,"CAR","11179785057.00"
52,"AMC","10965022908.00"
53,"SGP","10790015912.00"
54,"TPG","10505280430.00"
55,"AKE","10483098934.00"
56,"TWE","10178059282.00"
57,"MPL","9941951696.00"
58,"ALX","9836652533.00"
59,"BSL","9808336884.00"
60,"PMGOLD","9754310000.00"
61,"VCX","9559778252.00"
62,"MGR","9509523123.00"
63,"OZL","9508907595.00"
64,"AFI","9364632043.00"
65,"SPK","9210019376.00"
66,"WOR","9141830166.00"
67,"SEK","9122799066.00"
68,"GPT","8964902372.00"
69,"DXS","8894924584.00"
70,"YAL","8754513467.00"
71,"PME","8710525716.00"
72,"MCY","8542644141.00"
73,"EBO","8345786593.00"
74,"AGL","8254608549.00"
75,"ALD","8202358248.00"
76,"MGOC","7961749016.00"
77,"IFT","7936230476.00"
78,"IEL","7862997961.00"
79,"ORI","7584142375.00"
80,"EVN","7266664623.00"
81,"AZJ","7252373689.00"
82,"LYC","7153026554.00"
83,"LTR","6931513449.00"
84,"ARG","6836029872.00"
85,"NXT","6767603263.00"
86,"IPL","6739520851.00"
87,"WHC","6562680948.00"
88,"MEZ","6550081344.00"
89,"VGS","6467969033.00"
90,"ALQ","6347438337.00"
91,"SDF","6262528227.00"
92,"CWY","6211218277.00"
93,"IVV","6186921975.00"
94,"ALU","6076830090.00"
95,"CHC","6035444259.00"
96,"LLC","5914383318.00"
97,"QUB","5562151951.00"
98,"BLD","5471318558.00"
99,"TNE","5439753512.00"
100,"NHC","5367880196.00"
101,"BEN","5328711315.00"
102,"JBH","5161657243.00"
103,"ILU","5086592904.00"
104,"HVN","5083707148.00"
105,"FLT","5061536069.00"
106,"CGF","5047316449.00"
107,"VEA","4989839882.00"
108,"A2M","4959915846.00"
109,"GQG","4901657020.00"
110,"STW","4857527416.00"
